evento_id,cliente_id,session_id,tipo_evento,timestamp,producto_id,dispositivo,pais,duracion_seg,data_owner,clasificacion_dato
EVT-0000001,CLI-00125,SES-00000835,add_to_cart,2023-10-15 12:42:07,PROD-0015,tablet,Colombia,361.0,analytics@retailtech.co,público
EVT-0000002,CLI-00216,SES-00000718,remove_from_cart,2023-04-01 16:52:43,PROD-0006,tablet,Colombia,343.0,analytics@retailtech.co,público
EVT-0000003,,SES-00001074,search,2024-02-14 17:34:48,,desktop,Colombia,500.0,analytics@retailtech.co,público
EVT-0000004,CLI-00058,SES-00000917,add_to_cart,2023-06-10 00:46:40,PROD-0038,desktop,México,361.0,analytics@retailtech.co,público
EVT-0000005,CLI-00015,SES-00000102,remove_from_cart,2024-03-06 09:01:29,PROD-0029,mobile,México,533.0,analytics@retailtech.co,público
EVT-0000006,CLI-00131,SES-00000582,search,2024-09-04 18:40:36,,tablet,Colombia,82.0,analytics@retailtech.co,público
EVT-0000007,CLI-00223,SES-00001055,search,2023-09-24 12:30:16,,tablet,Colombia,575.0,analytics@retailtech.co,público
EVT-0000008,,SES-00000883,search,2023-12-12 15:57:06,,desktop,Colombia,375.0,analytics@retailtech.co,público
EVT-0000010,CLI-00178,SES-00001554,search,2023-02-03 04:22:33,,desktop,Colombia,489.0,analytics@retailtech.co,público
EVT-0000011,,SES-00001409,search,2024-05-08 07:01:43,,tablet,Colombia,165.0,analytics@retailtech.co,público
EVT-0000012,CLI-00079,SES-00000212,page_view,2024-03-01 03:23:18,,desktop,Colombia,384.0,analytics@retailtech.co,público
EVT-0000013,CLI-00176,SES-00000065,page_view,2023-10-25 10:20:01,,tablet,Ecuador,578.0,analytics@retailtech.co,público
EVT-0000014,CLI-00254,SES-00000939,search,2024-08-23 17:53:13,,desktop,Colombia,318.0,analytics@retailtech.co,público
EVT-0000015,,SES-00001581,checkout,2024-01-22 03:25:13,,mobile,Colombia,61.0,analytics@retailtech.co,público
EVT-0000016,,SES-00001260,search,2023-01-29 00:37:05,,mobile,México,19.0,analytics@retailtech.co,público
EVT-0000017,,SES-00001970,remove_from_cart,2024-05-18 22:45:17,PROD-0073,tablet,Colombia,424.0,analytics@retailtech.co,público
EVT-0000018,CLI-00100,SES-00001069,search,2024-02-01 04:32:39,,tablet,Chile,345.0,analytics@retailtech.co,público
EVT-0000019,CLI-00029,SES-00000261,page_view,2023-06-08 14:49:20,,desktop,Colombia,294.0,analytics@retailtech.co,público
EVT-0000020,CLI-00053,SES-00000162,page_view,2023-02-09 11:24:47,,tablet,Colombia,45.0,analytics@retailtech.co,público
EVT-0000021,CLI-00085,SES-00001039,checkout,2023-09-26 03:59:33,,desktop,Colombia,442.0,analytics@retailtech.co,público
EVT-0000022,,SES-00001187,page_view,2023-02-14 22:34:51,,desktop,Colombia,283.0,analytics@retailtech.co,público
EVT-0000023,CLI-00196,SES-00000853,checkout,2024-05-12 20:39:02,,desktop,Colombia,331.0,analytics@retailtech.co,público
EVT-0000024,,SES-00001637,page_view,2024-07-18 09:19:19,,mobile,México,550.0,analytics@retailtech.co,público
EVT-0000026,,SES-00001391,page_view,2023-03-17 03:58:34,,mobile,México,270.0,analytics@retailtech.co,público
EVT-0000027,CLI-00210,SES-00000175,page_view,2023-05-05 19:48:15,,desktop,Colombia,95.0,analytics@retailtech.co,público
EVT-0000028,,SES-00001189,page_view,2024-05-28 18:53:47,,tablet,Colombia,388.0,analytics@retailtech.co,público
EVT-0000029,CLI-00249,SES-00001131,search,2024-11-04 21:38:09,,tablet,Chile,47.0,analytics@retailtech.co,público
