pedido_id,cliente_id,fecha_pedido,fecha_entrega,estado,canal,metodo_pago,pais_envio,total_bruto,descuento_pct,total_neto,data_owner,clasificacion_dato,motivo_error
PED-000085,CLI-00175,2024-06-13,2024-06-20,devuelto,web,PSE,Perú,1983526.34,0.0,1983526.34,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000027,CLI-00225,2024-04-13,2024-04-15,entregado,web,efectivo,Chile,2420006.66,0.14,2081205.73,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000035,CLI-00184,2023-01-01,2023-01-13,devuelto,web,efectivo,México,1013575.54,0.0,1013575.54,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000052,CLI-00172,2023-12-08,2023-12-14,entregado,tienda_fisica,tarjeta_credito,Chile,2240324.81,0.0,2240324.81,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000185,CLI-00287,2024-11-17,2024-11-20,devuelto,marketplace,PSE,Colombia,274317.34,0.0,274317.34,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000247,CLI-00167,2024-09-27,,cancelado,tienda_fisica,transferencia,Chile,3402984.27,0.0,3402984.27,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000460,CLI-00226,2024-12-05,2024-12-11,entregado,mobile,credito_tienda,Argentina,259609.35,0.2,207687.48,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000472,CLI-00192,2023-05-10,2023-05-19,entregado,mobile,efectivo,México,395386.08,0.18,324216.59,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000195,CLI-00006,2024-11-24,2024-12-09,entregado,marketplace,credito_tienda,Ecuador,458303.26,0.0,458303.26,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000191,CLI-00236,2023-01-07,,enviado,tienda_fisica,tarjeta_credito,Colombia,1254777.29,0.1,1129299.56,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000204,CLI-00068,2023-06-15,,cancelado,mobile,efectivo,Colombia,2621141.53,0.0,2621141.53,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000526,CLI-00269,2023-01-04,2023-01-07,entregado,tienda_fisica,efectivo,México,2082591.82,0.0,2082591.82,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000311,CLI-00022,2023-10-18,,enviado,marketplace,tarjeta_credito,Chile,1985626.57,0.0,1985626.57,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000494,CLI-00034,2023-07-20,2023-07-29,entregado,marketplace,transferencia,Ecuador,2400492.86,0.11,2136438.65,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000069,CLI-00289,2023-04-01,,enviado,mobile,PSE,Colombia,2629324.77,0.26,1945700.33,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000318,CLI-00199,2023-01-11,2023-01-15,devuelto,web,efectivo,Chile,1852859.02,0.0,1852859.02,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000349,CLI-00194,2023-12-03,2023-12-12,entregado,tienda_fisica,transferencia,México,3256307.62,0.0,3256307.62,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000722,CLI-00125,2023-12-29,2024-01-09,devuelto,mobile,efectivo,Chile,2690493.88,0.29,1910250.65,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000493,CLI-00285,2023-02-04,,enviado,tienda_fisica,PSE,Ecuador,1403753.49,0.07,1305490.75,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000028,CLI-00205,2024-08-08,,enviado,web,PSE,Argentina,3026324.14,0.23,2330269.59,ventas@retailtech.co,interno,ID duplicado en pedido_id
PED-000944,CLI-00288,2024-10-17,2024-10-27,entregado,marketplace,credito_tienda,Argentina,1336552.22,0.02,1309821.18,ventas@retailtech.co,interno,ID duplicado en pedido_id
