evento_id,cliente_id,session_id,tipo_evento,timestamp,producto_id,dispositivo,pais,duracion_seg,data_owner,clasificacion_dato,motivo_error
EVT-0000009,CLI-00046,SES-00000430,add_to_cart,2024-02-16 06:19:15,PROD-0057,tablet,Argentina,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000025,,SES-00000947,purchase,2024-07-11 12:12:46,PROD-0031,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000059,CLI-00264,SES-00001941,page_view,2024-04-15 06:35:16,,desktop,Perú,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000063,CLI-00065,SES-00001121,remove_from_cart,2023-11-21 23:26:04,PROD-0068,desktop,Perú,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000074,,SES-00000609,search,2024-02-09 23:01:13,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000089,CLI-00219,SES-00000966,add_to_cart,2023-08-15 03:27:53,PROD-0072,tablet,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000111,CLI-00130,SES-00000568,purchase,2023-10-11 10:29:43,PROD-0040,desktop,Perú,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000135,,SES-00000327,search,2023-04-26 00:54:21,,desktop,Argentina,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000154,CLI-00118,SES-00001266,checkout,2024-08-01 15:10:43,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000185,CLI-00273,SES-00001810,remove_from_cart,2023-11-14 05:34:32,PROD-0058,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000237,CLI-00289,SES-00000298,purchase,2024-07-14 22:31:12,PROD-0025,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000249,,SES-00000044,add_to_cart,2024-01-12 21:50:55,PROD-0058,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000254,CLI-00182,SES-00000973,purchase,2024-12-14 15:53:44,PROD-0017,mobile,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000272,CLI-00223,SES-00001924,checkout,2024-10-08 16:48:46,,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000279,CLI-00237,SES-00001680,checkout,2024-09-18 22:48:02,,mobile,Chile,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000316,,SES-00000364,page_view,2023-05-06 21:47:56,,desktop,Chile,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000351,CLI-00125,SES-00001487,page_view,2024-09-19 19:14:18,,tablet,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000355,CLI-00265,SES-00000224,page_view,2023-04-05 06:31:39,,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000374,,SES-00001761,search,2023-09-19 00:29:01,,mobile,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000380,CLI-00222,SES-00000316,search,2023-04-04 03:33:42,,mobile,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000389,,SES-00001199,page_view,2024-02-27 08:31:39,,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000431,,SES-00001083,remove_from_cart,2024-12-10 12:59:33,PROD-0039,desktop,Chile,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000439,,SES-00000085,checkout,2024-08-08 04:41:16,,desktop,Argentina,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000497,CLI-00195,SES-00000776,add_to_cart,2024-04-04 20:53:54,PROD-0059,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000514,CLI-00297,SES-00000364,add_to_cart,2023-11-11 06:34:15,PROD-0016,mobile,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000524,,SES-00000103,remove_from_cart,2023-12-27 01:54:37,PROD-0021,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000554,,SES-00000074,page_view,2023-10-27 22:03:01,,mobile,Perú,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000563,CLI-00213,SES-00000145,page_view,2023-07-22 11:29:24,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000579,,SES-00000043,page_view,2023-04-17 01:26:23,,mobile,Perú,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000607,CLI-00056,SES-00001213,add_to_cart,2023-07-30 03:04:52,PROD-0015,desktop,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000647,CLI-00003,SES-00001543,add_to_cart,2023-11-29 10:43:34,PROD-0074,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000661,CLI-00171,SES-00000436,remove_from_cart,2024-08-17 17:50:46,PROD-0069,mobile,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000675,CLI-00198,SES-00000516,search,2024-02-14 11:52:30,,mobile,Ecuador,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000680,CLI-00157,SES-00001967,search,2023-02-05 01:24:51,,mobile,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000682,,SES-00001780,page_view,2023-09-05 00:57:05,,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000758,CLI-00174,SES-00000660,remove_from_cart,2024-02-07 08:42:18,PROD-0030,mobile,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000790,,SES-00000897,checkout,2024-01-31 10:00:27,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000870,CLI-00022,SES-00000279,remove_from_cart,2024-02-24 01:45:33,PROD-0057,desktop,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0000878,CLI-00025,SES-00000672,add_to_cart,2023-11-20 08:31:49,PROD-0073,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
