item_id,pedido_id,producto_id,cantidad,precio_unitario,descuento_pct,subtotal,data_owner,clasificacion_dato
ITEM-0000001,PED-000001,PROD-0060,4,353421.97,0.0,1413687.88,ventas@retailtech.co,interno
ITEM-0000002,PED-000001,PROD-0022,4,550441.19,0.07,2047641.23,ventas@retailtech.co,interno
ITEM-0000003,PED-000002,PROD-0048,3,805546.08,0.0,2416638.24,ventas@retailtech.co,interno
ITEM-0000004,PED-000002,PROD-0061,3,27982.94,0.0,83948.82,ventas@retailtech.co,interno
ITEM-0000005,PED-000002,PROD-0034,5,1895895.97,0.0,9479479.85,ventas@retailtech.co,interno
ITEM-0000006,PED-000002,PROD-0074,3,229405.81,0.16,578102.64,ventas@retailtech.co,interno
ITEM-0000007,PED-000002,PROD-0072,2,1025779.5,0.0,2051559.0,ventas@retailtech.co,interno
ITEM-0000008,PED-000002,PROD-0071,1,636447.85,0.0,636447.85,ventas@retailtech.co,interno
ITEM-0000009,PED-000003,PROD-0043,4,953349.99,0.2,3050719.97,ventas@retailtech.co,interno
ITEM-0000010,PED-000003,PROD-0066,1,85285.86,0.06,80168.71,ventas@retailtech.co,interno
ITEM-0000011,PED-000003,PROD-0039,3,183213.03,0.0,549639.09,ventas@retailtech.co,interno
ITEM-0000012,PED-000004,PROD-0072,2,1025779.5,0.05,1948981.05,ventas@retailtech.co,interno
ITEM-0000013,PED-000004,PROD-0029,2,348505.64,0.14,599429.7,ventas@retailtech.co,interno
ITEM-0000014,PED-000005,PROD-0047,3,1157752.12,0.0,3473256.36,ventas@retailtech.co,interno
ITEM-0000015,PED-000005,PROD-0053,2,50909.74,0.0,101819.48,ventas@retailtech.co,interno
ITEM-0000016,PED-000005,PROD-0052,4,937516.61,0.13,3262557.8,ventas@retailtech.co,interno
ITEM-0000017,PED-000005,PROD-0054,3,1063163.39,0.01,3157595.27,ventas@retailtech.co,interno
ITEM-0000018,PED-000005,PROD-0073,4,421618.06,0.03,1635878.07,ventas@retailtech.co,interno
ITEM-0000019,PED-000006,PROD-0004,3,540175.49,0.0,1620526.47,ventas@retailtech.co,interno
ITEM-0000020,PED-000006,PROD-0043,4,953349.99,0.08,3508327.96,ventas@retailtech.co,interno
ITEM-0000021,PED-000006,PROD-0048,2,805546.08,0.0,1611092.16,ventas@retailtech.co,interno
ITEM-0000022,PED-000006,PROD-0016,2,664360.12,0.0,1328720.24,ventas@retailtech.co,interno
ITEM-0000023,PED-000007,PROD-0022,5,550441.19,0.0,2752205.95,ventas@retailtech.co,interno
ITEM-0000024,PED-000007,PROD-0044,1,78683.26,0.0,78683.26,ventas@retailtech.co,interno
ITEM-0000025,PED-000007,PROD-0021,1,1207608.63,0.0,1207608.63,ventas@retailtech.co,interno
ITEM-0000026,PED-000007,PROD-0077,5,137905.41,0.0,689527.05,ventas@retailtech.co,interno
ITEM-0000027,PED-000007,PROD-0042,1,44326.78,0.16,37234.5,ventas@retailtech.co,interno
ITEM-0000028,PED-000008,PROD-0020,2,1093142.43,0.0,2186284.86,ventas@retailtech.co,interno
ITEM-0000029,PED-000008,PROD-0007,3,155021.22,0.0,465063.66,ventas@retailtech.co,interno
ITEM-0000030,PED-000008,PROD-0001,3,742852.47,0.0,2228557.41,ventas@retailtech.co,interno
ITEM-0000031,PED-000008,PROD-0061,1,27982.94,0.0,27982.94,ventas@retailtech.co,interno
ITEM-0000032,PED-000008,PROD-0023,3,1434148.69,0.0,4302446.07,ventas@retailtech.co,interno
ITEM-0000033,PED-000008,PROD-0005,1,1154567.08,0.02,1131475.74,ventas@retailtech.co,interno
ITEM-0000034,PED-000009,PROD-0079,1,251749.6,0.04,241679.62,ventas@retailtech.co,interno
ITEM-0000035,PED-000010,PROD-0051,1,665064.14,0.0,665064.14,ventas@retailtech.co,interno
ITEM-0000036,PED-000010,PROD-0063,3,1479317.46,0.0,4437952.38,ventas@retailtech.co,interno
ITEM-0000037,PED-000011,PROD-0010,4,181104.21,0.0,724416.84,ventas@retailtech.co,interno
ITEM-0000038,PED-000011,PROD-0079,3,251749.6,0.0,755248.8,ventas@retailtech.co,interno
ITEM-0000039,PED-000011,PROD-0037,5,405887.25,0.0,2029436.25,ventas@retailtech.co,interno
ITEM-0000040,PED-000011,PROD-0018,5,432931.88,0.0,2164659.4,ventas@retailtech.co,interno
ITEM-0000041,PED-000011,PROD-0009,3,36481.18,0.0,109443.54,ventas@retailtech.co,interno
ITEM-0000042,PED-000012,PROD-0021,3,1207608.63,0.06,3405456.34,ventas@retailtech.co,interno
ITEM-0000043,PED-000012,PROD-0061,4,27982.94,0.0,111931.76,ventas@retailtech.co,interno
ITEM-0000044,PED-000012,PROD-0058,2,528769.89,0.17,877758.02,ventas@retailtech.co,interno
ITEM-0000045,PED-000013,PROD-0042,1,44326.78,0.0,44326.78,ventas@retailtech.co,interno
ITEM-0000046,PED-000013,PROD-0027,5,1055832.34,0.03,5120786.85,ventas@retailtech.co,interno
ITEM-0000047,PED-000013,PROD-0031,4,741330.7,0.0,2965322.8,ventas@retailtech.co,interno
