pedido_id,cliente_id,fecha_pedido,fecha_entrega,estado,canal,metodo_pago,pais_envio,total_bruto,descuento_pct,total_neto,data_owner,clasificacion_dato
PED-000001,CLI-00261,2024-12-13,,cancelado,tienda_fisica,efectivo,Ecuador,817152.01,0.29,580177.93,ventas@retailtech.co,interno
PED-000002,CLI-00286,2024-10-23,2024-10-25,entregado,tienda_fisica,tarjeta_credito,Argentina,759581.99,0.0,759581.99,ventas@retailtech.co,interno
PED-000003,CLI-00018,2023-03-09,2023-03-14,entregado,mobile,PSE,México,2737294.59,0.12,2408819.24,ventas@retailtech.co,interno
PED-000004,CLI-00122,2023-09-13,,cancelado,tienda_fisica,efectivo,Perú,200693.5,0.0,200693.5,ventas@retailtech.co,interno
PED-000005,CLI-00263,2024-10-12,2024-10-27,entregado,mobile,transferencia,Argentina,131207.09,0.0,131207.09,ventas@retailtech.co,interno
PED-000006,CLI-00018,2023-12-19,2023-12-22,entregado,marketplace,tarjeta_credito,México,2912273.95,0.08,2679292.03,ventas@retailtech.co,interno
PED-000007,CLI-00240,2023-08-08,,cancelado,web,tarjeta_credito,Perú,2379990.98,0.19,1927792.69,ventas@retailtech.co,interno
PED-000008,CLI-00187,2024-10-24,,cancelado,tienda_fisica,transferencia,Perú,2808005.21,0.0,2808005.21,ventas@retailtech.co,interno
PED-000009,CLI-00234,2024-04-15,,cancelado,web,tarjeta_credito,Argentina,1646775.6,0.0,1646775.6,ventas@retailtech.co,interno
PED-000010,CLI-00042,2024-01-19,2024-01-28,devuelto,tienda_fisica,efectivo,Ecuador,1062203.84,0.18,871007.15,ventas@retailtech.co,interno
PED-000011,CLI-00148,2023-10-11,2023-10-16,entregado,web,credito_tienda,Perú,2288845.98,0.29,1625080.65,ventas@retailtech.co,interno
PED-000012,CLI-00246,2024-11-28,2024-12-01,entregado,marketplace,transferencia,Ecuador,3491205.12,0.2,2792964.1,ventas@retailtech.co,interno
PED-000013,CLI-00281,2024-12-26,,pendiente,tienda_fisica,credito_tienda,Chile,1217505.5,0.24,925304.18,ventas@retailtech.co,interno
PED-000014,CLI-00160,2024-11-04,,cancelado,mobile,efectivo,Ecuador,364170.65,0.05,345962.12,ventas@retailtech.co,interno
PED-000015,CLI-00200,2023-12-30,,enviado,tienda_fisica,efectivo,Argentina,3053227.01,0.0,3053227.01,ventas@retailtech.co,interno
PED-000016,CLI-00046,2023-05-01,2023-05-09,entregado,marketplace,PSE,Argentina,2229528.68,0.0,2229528.68,ventas@retailtech.co,interno
PED-000017,CLI-00093,2024-11-28,,enviado,mobile,PSE,Chile,1061786.24,0.0,1061786.24,ventas@retailtech.co,interno
PED-000018,CLI-00052,2024-08-06,2024-08-21,entregado,marketplace,efectivo,Ecuador,1124432.52,0.14,967011.97,ventas@retailtech.co,interno
PED-000019,CLI-00103,2023-11-17,2023-11-28,devuelto,mobile,transferencia,Colombia,1595884.97,0.0,1595884.97,ventas@retailtech.co,interno
PED-000020,CLI-00024,2024-03-20,,enviado,mobile,efectivo,Colombia,3379514.24,0.12,2973972.53,ventas@retailtech.co,interno
PED-000021,CLI-00154,2024-06-27,,cancelado,mobile,efectivo,Chile,2376699.79,0.0,2376699.79,ventas@retailtech.co,interno
PED-000022,CLI-00030,2024-01-28,,enviado,tienda_fisica,efectivo,Perú,1088749.95,0.0,1088749.95,ventas@retailtech.co,interno
PED-000023,CLI-00206,2024-09-02,2024-09-11,entregado,marketplace,efectivo,México,3110709.8,0.0,3110709.8,ventas@retailtech.co,interno
PED-000024,CLI-00132,2024-02-18,,enviado,web,credito_tienda,Argentina,804516.74,0.0,804516.74,ventas@retailtech.co,interno
PED-000025,CLI-00031,2024-01-11,,enviado,web,tarjeta_credito,Ecuador,1328793.7,0.24,1009883.21,ventas@retailtech.co,interno
PED-000026,CLI-00280,2023-02-19,,cancelado,mobile,PSE,Ecuador,1346381.83,0.13,1171352.19,ventas@retailtech.co,interno
PED-000027,CLI-00084,2023-01-10,2023-01-15,entregado,marketplace,tarjeta_credito,Argentina,375904.97,0.0,375904.97,ventas@retailtech.co,interno
PED-000028,CLI-00124,2023-05-01,2023-05-06,entregado,tienda_fisica,credito_tienda,México,394266.39,0.0,394266.39,ventas@retailtech.co,interno
PED-000029,CLI-00284,2024-02-24,2024-02-29,entregado,tienda_fisica,PSE,Colombia,1929782.2,0.0,1929782.2,ventas@retailtech.co,interno
PED-000030,CLI-00057,2023-04-02,,pendiente,web,tarjeta_credito,Chile,2349851.21,0.25,1762388.41,ventas@retailtech.co,interno
PED-000031,CLI-00025,2024-04-12,2024-04-17,entregado,tienda_fisica,efectivo,Ecuador,199028.68,0.0,199028.68,ventas@retailtech.co,interno
PED-000032,CLI-00104,2023-04-29,2023-05-01,entregado,tienda_fisica,efectivo,Perú,58611.34,0.27,42786.28,ventas@retailtech.co,interno
PED-000033,CLI-00235,2023-10-02,2023-10-17,devuelto,marketplace,efectivo,Perú,1215961.46,0.11,1082205.7,ventas@retailtech.co,interno
PED-000034,CLI-00081,2024-05-04,2024-05-17,entregado,web,PSE,Colombia,3104280.51,0.0,3104280.51,ventas@retailtech.co,interno
PED-000035,CLI-00214,2024-08-27,2024-09-04,entregado,web,PSE,Perú,654880.45,0.2,523904.36,ventas@retailtech.co,interno
PED-000036,CLI-00191,2023-04-26,2023-05-11,devuelto,web,credito_tienda,Ecuador,184753.83,0.0,184753.83,ventas@retailtech.co,interno
PED-000037,CLI-00059,2024-08-01,2024-08-05,entregado,marketplace,PSE,Perú,1200594.73,0.2,960475.78,ventas@retailtech.co,interno
PED-000038,CLI-00035,2024-11-23,2024-12-04,entregado,web,PSE,Argentina,2940639.75,0.0,2940639.75,ventas@retailtech.co,interno
PED-000039,CLI-00170,2024-05-22,,cancelado,web,credito_tienda,México,1733476.66,0.02,1698807.13,ventas@retailtech.co,interno
PED-000040,CLI-00056,2024-01-23,2024-01-30,entregado,marketplace,transferencia,Chile,1568556.35,0.02,1537185.22,ventas@retailtech.co,interno
PED-000041,CLI-00002,2024-05-24,,enviado,web,credito_tienda,Argentina,1426952.81,0.01,1412683.28,ventas@retailtech.co,interno
PED-000042,CLI-00217,2024-06-04,2024-06-13,entregado,web,PSE,Perú,2358373.44,0.0,2358373.44,ventas@retailtech.co,interno
PED-000043,CLI-00070,2024-09-26,2024-10-06,entregado,web,PSE,Colombia,2308656.04,0.0,2308656.04,ventas@retailtech.co,interno
PED-000044,CLI-00030,2024-10-10,2024-10-23,entregado,mobile,transferencia,México,1838898.18,0.0,1838898.18,ventas@retailtech.co,interno
PED-000045,CLI-00232,2024-02-24,,cancelado,mobile,transferencia,México,2147709.89,0.0,2147709.89,ventas@retailtech.co,interno
PED-000046,CLI-00077,2023-04-21,2023-05-04,entregado,marketplace,transferencia,Ecuador,3245027.19,0.0,3245027.19,ventas@retailtech.co,interno
